frame      stress       u
210.000000  0.000000  0.073632
211.000000  -0.000000  0.075235
212.000000  0.000000  0.076800
213.000000  0.000000  0.078323
214.000000  -0.000000  0.079803
215.000000  0.000000  0.081237
216.000000  -0.000000  0.082624
217.000000  0.000000  0.083962
218.000000  -0.000000  0.085249
219.000000  -0.000000  0.086484
220.000000  0.000000  0.087665
221.000000  -0.000000  0.088792
222.000000  0.000000  0.089863
223.000000  -0.000000  0.090878
224.000000  -0.000000  0.091836
225.000000  0.000000  0.092736
226.000000  -0.000000  0.093579
227.000000  0.000000  0.094364
228.000000  -0.000000  0.095091
229.000000  0.000000  0.095762
230.000000  -0.000000  0.096376
231.000000  0.000000  0.096934
232.000000  -0.000000  0.097437
233.000000  0.000000  0.097888
234.000000  -0.000000  0.098287
235.000000  0.000000  0.098636
236.000000  -0.000000  0.098937
237.000000  -0.000000  0.099193
238.000000  0.000000  0.099406
239.000000  -0.000000  0.099580
240.000000  -0.000000  0.099717
241.000000  0.000000  0.099822
242.000000  -0.000000  0.099898
243.000000  0.000000  0.099948
244.000000  -0.000000  0.099979
245.000000  0.000000  0.099994
246.000000  -0.000000  0.100000
